Year,Patient County Code,Patient County Name,Rural/Urban,Payer,ER Opioid,ER Visits ,ER Rate Per 1000 ,Inpatient ER Opioid,Inpatient ER Discharges,Inpatient ER Rate Per 1000,Inpatient Non ER Opioid,Inpatient Non ER Discharges,Inpatient Non ER Rate Per 1000 ,Inpatient Total Opioid,Inpatient Total Discharges,Inpatient Total Rate Per 1000 ,ER Inpatient Total Opioid,ER Inpatient Total Discharges ,ER Inpatient Total Rate Per 1000,Opioid Ambulatory Surgery Visits,Ambulatory Surgery Visits,Ambulatory Surgery Rate Per 1000,Outpatient Opioid,Outpatient Visits,Outpatient Rate Per 1000,Other Outpatient Total Opioid, Other Outpatient Total Discharges,Other Outpatient Total Rate Per 1000,Overall Opioid,Overall Discharges,Overall Rate Per 1000
2011,21,Herkimer,Urban,Commercial,2,7829,0.255,3,831,3.61,0,1244,0,3,2075,1.446,5,9904,0.505,0,5894,0,0,19879,0,0,25773,0,5,35677,0.14
2013,37,Putnam,Urban,Medicare,2,4421,0.452,9,2735,3.291,0,1059,0,9,3794,2.372,11,8215,1.339,0,3104,0,0,5824,0,0,8928,0,11,17143,0.642
2012,54,Wayne,Urban,Medicaid,2,7785,0.257,7,753,9.296,2,888,2.252,9,1641,5.484,11,9426,1.167,0,1343,0,0,3021,0,0,4364,0,11,13790,0.798
2013,36,Otsego,Rural,Medicaid,3,4667,0.643,1,434,2.304,0,593,0,1,1027,0.974,4,5694,0.702,0,811,0,0,27630,0,0,28441,0,4,34135,0.117
2015,42,Schenectady,Urban,Commercial,30,20974,1.43,4,902,4.435,4,4623,0.865,8,5525,1.448,38,26499,1.434,0,12297,0,0,32441,0,0,44738,0,38,71237,0.533
2014,15,Essex,Rural,Medicaid,4,4586,0.872,1,229,4.367,0,247,0,1,476,2.101,5,5062,0.988,0,420,0,0,2738,0,0,3158,0,5,8220,0.608
2011,46,Steuben,Rural,Commercial,6,18720,0.321,4,1561,2.562,0,2350,0,4,3911,1.023,10,22631,0.442,0,7031,0,0,12290,0,0,19321,0,10,41952,0.238
2015,4,Cattaraugus,Rural,Medicare,1,1742,0.574,2,970,2.062,1,802,1.247,3,1772,1.693,4,3514,1.138,0,1599,0,0,4560,0,0,6159,0,4,9673,0.414
2015,11,Cortland,Rural,Medicare,4,4077,0.981,2,1652,1.211,3,620,4.839,5,2272,2.201,9,6349,1.418,0,2303,0,0,4688,0,0,6991,0,9,13340,0.675
2013,54,Wayne,Urban,Commercial,4,14017,0.285,1,1727,0.579,1,2415,0.414,2,4142,0.483,6,18159,0.33,0,7236,0,0,12294,0,0,19530,0,6,37689,0.159
2014,56,Wyoming,Rural,Commercial,5,4788,1.044,2,488,4.098,0,989,0,2,1477,1.354,7,6265,1.117,0,3007,0,0,5647,0,0,8654,0,7,14919,0.469
2014,33,Orange,Urban,Medicare,19,18659,1.018,30,12280,2.443,2,4141,0.483,32,16421,1.949,51,35080,1.454,0,11394,0,0,22861,0,0,34255,0,51,69335,0.736
2014,29,Niagara,Urban,Commercial,31,32944,0.941,17,4896,3.472,0,5614,0,17,10510,1.618,48,43454,1.105,0,21432,0,0,62750,0,0,84182,0,48,127636,0.376
2014,44,Schuyler,Rural,Medicaid,1,2529,0.395,1,152,6.579,0,223,0,1,375,2.667,2,2904,0.689,0,315,0,0,4089,0,0,4404,0,2,7308,0.274
2015,37,Putnam,Urban,Medicare,6,4404,1.362,3,2750,1.091,2,1020,1.961,5,3770,1.326,11,8174,1.346,0,3197,0,0,5935,0,0,9132,0,11,17306,0.636
2014,13,Dutchess,Urban,Medicaid,48,16329,2.94,13,2090,6.22,2,2456,0.814,15,4546,3.3,63,20875,3.018,0,2355,0,0,8427,0,0,10782,0,63,31657,1.99
2012,22,Jefferson,Urban,Other,8,19853,0.403,2,1169,1.711,0,2966,0,2,4135,0.484,10,23988,0.417,0,3379,0,0,5522,0,0,8901,0,10,32889,0.304
2013,30,Oneida,Urban,Medicare,12,16860,0.712,20,10252,1.951,1,3763,0.266,21,14015,1.498,33,30875,1.069,0,11838,0,1,24953,0.04,1,36791,0.027,34,67666,0.502
2013,88,Other than New York State,Urban,Medicare,3,14827,0.202,13,8348,1.557,3,10448,0.287,16,18796,0.851,19,33623,0.565,0,15306,0,0,35506,0,0,50812,0,19,84435,0.225
2011,54,Wayne,Urban,Medicare,3,5453,0.55,5,3852,1.298,0,1418,0,5,5270,0.949,8,10723,0.746,0,3879,0,0,10953,0,0,14832,0,8,25555,0.313
2011,34,Orleans,Urban,Medicaid,0,3641,0,1,391,2.558,0,481,0,1,872,1.147,1,4513,0.222,0,493,0,0,1285,0,0,1778,0,1,6291,0.159
2015,43,Schoharie,Urban,Commercial,2,4780,0.418,0,283,0,0,595,0,0,878,0,2,5658,0.353,0,2022,0,0,7105,0,0,9127,0,2,14785,0.135
2011,16,Franklin,Rural,Other,0,1479,0,1,208,4.808,0,86,0,1,294,3.401,1,1773,0.564,0,340,0,0,478,0,0,818,0,1,2591,0.386
2013,40,St. Lawrence,Rural,Commercial,10,28728,0.348,10,1934,5.171,1,2670,0.375,11,4604,2.389,21,33332,0.63,0,8254,0,0,17214,0,0,25468,0,21,58800,0.357
2012,48,Sullivan,Rural,Medicaid,4,7970,0.502,10,958,10.438,0,1238,0,10,2196,4.554,14,10166,1.377,0,1364,0,0,3592,0,0,4956,0,14,15122,0.926
2011,57,Yates,Urban,Medicare,2,2084,0.96,1,698,1.433,0,507,0,1,1205,0.83,3,3289,0.912,0,1467,0,0,3734,0,0,5201,0,3,8490,0.353
2014,60,New York (Manhattan),Urban,Other,2,7416,0.27,1,1192,0.839,0,622,0,1,1814,0.551,3,9230,0.325,0,4002,0,0,10562,0,0,14564,0,3,23794,0.126
2015,49,Tioga,Urban,Other,0,152,0,0,15,0,0,18,0,0,33,0,0,185,0,0,37,0,0,201,0,0,238,0,0,423,0
2015,45,Seneca,Rural,Other,0,477,0,0,75,0,0,53,0,0,128,0,0,605,0,0,212,0,0,445,0,0,657,0,0,1262,0
2015,45,Seneca,Rural,Commercial,2,4837,0.413,3,429,6.993,0,662,0,3,1091,2.75,5,5928,0.843,0,2649,0,0,4078,0,0,6727,0,5,12655,0.395
2012,39,Rockland,Urban,Medicare,3,11899,0.252,7,9818,0.713,2,4546,0.44,9,14364,0.627,12,26263,0.457,0,4330,0,0,27267,0,0,31597,0,12,57860,0.207
2013,48,Sullivan,Rural,Commercial,23,19482,1.181,7,1506,4.648,0,2017,0,7,3523,1.987,30,23005,1.304,0,5417,0,0,8788,0,0,14205,0,30,37210,0.806
2015,14,Erie,Urban,Commercial,386,100646,3.835,69,10698,6.45,23,20705,1.111,92,31403,2.93,478,132049,3.62,0,81801,0,0,143701,0,0,225502,0,478,357551,1.337
2012,99,Unknown,Urban,Medicaid,31,66351,0.467,33,7161,4.608,5,6355,0.787,38,13516,2.811,69,79867,0.864,0,9758,0,1,37925,0.026,1,47683,0.021,70,127550,0.549
2014,43,Schoharie,Urban,Medicare,2,2655,0.753,2,776,2.577,0,730,0,2,1506,1.328,4,4161,0.961,0,1617,0,0,16438,0,0,18055,0,4,22216,0.18
2011,2,Allegany,Rural,Medicaid,2,7179,0.279,2,486,4.115,2,750,2.667,4,1236,3.236,6,8415,0.713,0,973,0,0,6505,0,0,7478,0,6,15893,0.378
2012,56,Wyoming,Rural,Commercial,4,5183,0.772,2,540,3.704,0,1076,0,2,1616,1.238,6,6799,0.882,0,3101,0,0,5750,0,0,8851,0,6,15650,0.383
2011,22,Jefferson,Urban,Other,1,19357,0.052,5,1060,4.717,0,2566,0,5,3626,1.379,6,22983,0.261,0,3357,0,0,5437,0,0,8794,0,6,31777,0.189
2013,5,Cayuga,Rural,Commercial,2,11174,0.179,4,998,4.008,2,1997,1.002,6,2995,2.003,8,14169,0.565,0,7013,0,3,15263,0.197,3,22276,0.135,11,36445,0.302
2013,39,Rockland,Urban,Commercial,19,35218,0.539,11,4338,2.536,4,6542,0.611,15,10880,1.379,34,46098,0.738,0,8565,0,0,26181,0,0,34746,0,34,80844,0.421
2014,38,Rensselaer,Urban,Medicaid,31,15746,1.969,3,1592,1.884,2,1812,1.104,5,3404,1.469,36,19150,1.88,0,2124,0,0,6517,0,0,8641,0,36,27791,1.295
2015,12,Delaware,Rural,Other,0,482,0,0,43,0,0,42,0,0,85,0,0,567,0,0,70,0,0,514,0,0,584,0,0,1151,0
2011,31,Onondaga,Urban,Commercial,82,52061,1.575,39,6966,5.599,2,10905,0.183,41,17871,2.294,123,69932,1.759,0,29926,0,1,40621,0.025,1,70547,0.014,124,140479,0.883
2011,18,Genesee,Rural,Commercial,2,10048,0.199,2,1101,1.817,1,1685,0.593,3,2786,1.077,5,12834,0.39,0,4664,0,0,15502,0,0,20166,0,5,33000,0.152
2010,61,Queens,Urban,Medicaid,53,210415,0.252,96,50312,1.908,3,33102,0.091,99,83414,1.187,152,293829,0.517,0,30893,0,0,2053,0,0,32946,0,152,326775,0.465
2010,46,Steuben,Rural,Commercial,1,13373,0.075,6,1546,3.881,1,2314,0.432,7,3860,1.813,8,17233,0.464,0,5615,0,0,76,0,0,5691,0,8,22924,0.349
2015,25,Madison,Urban,Other,2,702,2.849,1,50,20,0,59,0,1,109,9.174,3,811,3.699,0,160,0,0,275,0,0,435,0,3,1246,2.408
2012,31,Onondaga,Urban,Other,6,4268,1.406,4,575,6.957,0,390,0,4,965,4.145,10,5233,1.911,0,977,0,0,3037,0,0,4014,0,10,9247,1.081
2015,42,Schenectady,Urban,Medicare,5,11940,0.419,3,1148,2.613,13,6701,1.94,16,7849,2.038,21,19789,1.061,0,7658,0,1,26136,0.038,1,33794,0.03,22,53583,0.411
2012,35,Oswego,Urban,Medicare,7,5481,1.277,16,4526,3.535,1,1870,0.535,17,6396,2.658,24,11877,2.021,0,5658,0,0,10707,0,0,16365,0,24,28242,0.85
2011,62,Richmond (Staten Island),Urban,Medicaid,23,38605,0.596,86,10246,8.394,1,6532,0.153,87,16778,5.185,110,55383,1.986,0,5243,0,0,183384,0,0,188627,0,110,244010,0.451
2015,18,Genesee,Rural,Medicare,6,3712,1.616,5,2071,2.414,1,665,1.504,6,2736,2.193,12,6448,1.861,0,3206,0,0,13080,0,0,16286,0,12,22734,0.528
2014,3,Broome,Urban,Commercial,51,23182,2.2,11,2865,3.839,1,4071,0.246,12,6936,1.73,63,30118,2.092,0,13000,0,0,78356,0,0,91356,0,63,121474,0.519
2013,46,Steuben,Rural,Medicaid,8,11224,0.713,3,819,3.663,0,1252,0,3,2071,1.449,11,13295,0.827,0,1663,0,0,5647,0,0,7310,0,11,20605,0.534
2013,19,Greene,Rural,Medicare,3,2742,1.094,2,1992,1.004,0,611,0,2,2603,0.768,5,5345,0.935,0,2347,0,0,4344,0,0,6691,0,5,12036,0.415
2014,43,Schoharie,Urban,Commercial,2,4686,0.427,0,311,0,2,579,3.454,2,890,2.247,4,5576,0.717,0,2048,0,0,7075,0,0,9123,0,4,14699,0.272
2011,39,Rockland,Urban,Unknown,0,53,0,0,2,0,0,6,0,0,8,0,0,61,0,0,143,0,0,16,0,0,159,0,0,220,0
2015,59,Kings (Brooklyn),Urban,Medicare,46,102419,0.449,121,69975,1.729,29,21936,1.322,150,91911,1.632,196,194330,1.009,0,54506,0,6,358450,0.017,6,412956,0.015,202,607286,0.333
2015,31,Onondaga,Urban,Commercial,100,41388,2.416,43,6018,7.145,7,10061,0.696,50,16079,3.11,150,57467,2.61,0,37244,0,2,32380,0.062,2,69624,0.029,152,127091,1.196
2013,27,Montgomery,Rural,Commercial,3,11924,0.252,4,675,5.926,0,1052,0,4,1727,2.316,7,13651,0.513,0,4675,0,0,17030,0,0,21705,0,7,35356,0.198
2012,42,Schenectady,Urban,Medicare,5,11581,0.432,1,1197,0.835,5,6367,0.785,6,7564,0.793,11,19145,0.575,0,7762,0,0,16298,0,0,24060,0,11,43205,0.255
2011,23,Lewis,Rural,Other,0,851,0,0,35,0,0,96,0,0,131,0,0,982,0,0,132,0,0,511,0,0,643,0,0,1625,0
2011,59,Kings (Brooklyn),Urban,Commercial,83,373178,0.222,53,43519,1.218,10,41501,0.241,63,85020,0.741,146,458198,0.319,0,88002,0,0,536215,0,0,624217,0,146,1082415,0.135
2011,23,Lewis,Rural,Commercial,1,5100,0.196,1,355,2.817,0,565,0,1,920,1.087,2,6020,0.332,0,1787,0,0,4393,0,0,6180,0,2,12200,0.164
2015,61,Queens,Urban,Medicare,9,75361,0.119,98,62297,1.573,21,18873,1.113,119,81170,1.466,128,156531,0.818,0,44529,0,5,230632,0.022,5,275161,0.018,133,431692,0.308
2014,59,Kings (Brooklyn),Urban,Medicare,34,104110,0.327,114,78197,1.458,7,21053,0.332,121,99250,1.219,155,203360,0.762,0,56662,0,0,384852,0,0,441514,0,155,644874,0.24
2014,,Statewide Total,State,Other,106,218605,0.485,69,22673,3.043,10,16871,0.593,79,39544,1.998,185,258149,0.717,0,65604,0,1,226180,0.004,1,291784,0.003,186,549933,0.338
2011,8,Chenango,Rural,Commercial,8,10483,0.763,1,685,1.46,1,1161,0.861,2,1846,1.083,10,12329,0.811,0,3702,0,0,41372,0,0,45074,0,10,57403,0.174
2015,40,St. Lawrence,Rural,Other,2,6051,0.331,4,466,8.584,0,298,0,4,764,5.236,6,6815,0.88,0,876,0,0,2419,0,0,3295,0,6,10110,0.593
2013,55,Westchester,Urban,Other,2,14174,0.141,0,1641,0,2,880,2.273,2,2521,0.793,4,16695,0.24,0,2786,0,0,15442,0,0,18228,0,4,34923,0.115
2011,42,Schenectady,Urban,Other,0,988,0,1,76,13.158,0,376,0,1,452,2.212,1,1440,0.694,0,303,0,0,1214,0,0,1517,0,1,2957,0.338
2013,,Statewide Total,State,Other,92,234849,0.392,68,26554,2.561,8,17902,0.447,76,44456,1.71,168,279305,0.601,0,62104,0,0,241647,0,0,303751,0,168,583056,0.288
2011,35,Oswego,Urban,Commercial,7,12006,0.583,6,1878,3.195,1,2775,0.36,7,4653,1.504,14,16659,0.84,0,8549,0,0,5990,0,0,14539,0,14,31198,0.449
2014,32,Ontario,Urban,Medicaid,12,9063,1.324,6,642,9.346,0,1120,0,6,1762,3.405,18,10825,1.663,0,1786,0,0,5159,0,0,6945,0,18,17770,1.013
2015,54,Wayne,Urban,Medicaid,10,9909,1.009,6,909,6.601,0,953,0,6,1862,3.222,16,11771,1.359,0,2076,0,0,4342,0,0,6418,0,16,18189,0.88
2015,10,Columbia,Rural,Commercial,6,6645,0.903,0,781,0,0,836,0,0,1617,0,6,8262,0.726,0,3464,0,0,7258,0,0,10722,0,6,18984,0.316
2013,8,Chenango,Rural,Medicare,2,4752,0.421,2,1718,1.164,1,981,1.019,3,2699,1.112,5,7451,0.671,0,1792,0,0,43367,0,0,45159,0,5,52610,0.095
2013,9,Clinton,Rural,Commercial,6,17753,0.338,12,1492,8.043,0,1542,0,12,3034,3.955,18,20787,0.866,0,6512,0,0,16101,0,0,22613,0,18,43400,0.415
2014,38,Rensselaer,Urban,Commercial,21,16674,1.259,4,1872,2.137,0,3047,0,4,4919,0.813,25,21593,1.158,0,11006,0,0,15898,0,0,26904,0,25,48497,0.515
2012,13,Dutchess,Urban,Medicare,6,16024,0.374,20,9242,2.164,2,3488,0.573,22,12730,1.728,28,28754,0.974,0,8194,0,0,19633,0,0,27827,0,28,56581,0.495
2012,14,Erie,Urban,Other,6,12177,0.493,10,1316,7.599,0,1253,0,10,2569,3.893,16,14746,1.085,0,2699,0,0,5282,0,0,7981,0,16,22727,0.704
2013,4,Cattaraugus,Rural,Medicaid,2,2753,0.726,2,335,5.97,0,531,0,2,866,2.309,4,3619,1.105,0,840,0,0,3358,0,0,4198,0,4,7817,0.512
2015,32,Ontario,Urban,Medicare,4,6523,0.613,14,3413,4.102,2,1183,1.691,16,4596,3.481,20,11119,1.799,0,5001,0,0,12141,0,0,17142,0,20,28261,0.708
2011,62,Richmond (Staten Island),Urban,Commercial,30,81274,0.369,38,14277,2.662,3,12336,0.243,41,26613,1.541,71,107887,0.658,0,23707,0,2,76371,0.026,2,100078,0.02,73,207965,0.351
2015,15,Essex,Rural,Other,0,281,0,0,26,0,0,11,0,0,37,0,0,318,0,0,65,0,0,142,0,0,207,0,0,525,0
2011,99,Unknown,Urban,Medicare,6,22399,0.268,12,7770,1.544,3,4886,0.614,15,12656,1.185,21,35055,0.599,0,45657,0,1,73141,0.014,1,118798,0.008,22,153853,0.143
2011,34,Orleans,Urban,Other,0,655,0,0,110,0,0,65,0,0,175,0,0,830,0,0,157,0,0,321,0,0,478,0,0,1308,0
2013,24,Livingston,Urban,Medicare,4,3485,1.148,7,1889,3.706,0,750,0,7,2639,2.653,11,6124,1.796,0,3101,0,0,6177,0,0,9278,0,11,15402,0.714
2013,10,Columbia,Rural,Commercial,12,8564,1.401,3,950,3.158,0,1038,0,3,1988,1.509,15,10552,1.422,0,3860,0,0,7138,0,0,10998,0,15,21550,0.696
2011,40,St. Lawrence,Rural,Medicare,2,9906,0.202,7,3864,1.812,1,1669,0.599,8,5533,1.446,10,15439,0.648,0,4818,0,1,17254,0.058,1,22072,0.045,11,37511,0.293
2015,99,Unknown,Urban,Commercial,46,48168,0.955,20,4024,4.97,7,5802,1.206,27,9826,2.748,73,57994,1.259,0,31505,0,6,48760,0.123,6,80265,0.075,79,138259,0.571
2015,19,Greene,Rural,Medicare,9,2845,3.163,11,2320,4.741,0,705,0,11,3025,3.636,20,5870,3.407,0,2490,0,0,5892,0,0,8382,0,20,14252,1.403
2013,31,Onondaga,Urban,Medicaid,82,49844,1.645,38,5530,6.872,1,5628,0.178,39,11158,3.495,121,61002,1.984,0,6415,0,0,27408,0,0,33823,0,121,94825,1.276
2011,4,Cattaraugus,Rural,Commercial,5,13046,0.383,3,1078,2.783,0,1880,0,3,2958,1.014,8,16004,0.5,0,5525,0,0,12668,0,0,18193,0,8,34197,0.234
2013,30,Oneida,Urban,Commercial,23,27408,0.839,13,3020,4.305,1,4710,0.212,14,7730,1.811,37,35138,1.053,0,18070,0,0,23443,0,0,41513,0,37,76651,0.483
2015,58,Bronx,Urban,Medicare,22,76176,0.289,166,51735,3.209,21,11663,1.801,187,63398,2.95,209,139574,1.497,0,36732,0,2,343303,0.006,2,380035,0.005,211,519609,0.406
2015,32,Ontario,Urban,Other,5,2314,2.161,6,380,15.789,0,146,0,6,526,11.407,11,2840,3.873,0,412,0,0,853,0,0,1265,0,11,4105,2.68
2014,1,Albany,Urban,Commercial,29,35249,0.823,8,3793,2.109,0,5910,0,8,9703,0.824,37,44952,0.823,0,21149,0,0,45709,0,0,66858,0,37,111810,0.331
2011,59,Kings (Brooklyn),Urban,Medicaid,112,431685,0.259,232,91636,2.532,28,64264,0.436,260,155900,1.668,372,587585,0.633,1,59324,0.017,2,1091597,0.002,3,1150921,0.003,375,1738506,0.216
2014,35,Oswego,Urban,Medicaid,24,12876,1.864,8,1541,5.191,0,1931,0,8,3472,2.304,32,16348,1.957,0,3617,0,0,13333,0,0,16950,0,32,33298,0.961
2015,9,Clinton,Rural,Commercial,3,15304,0.196,3,991,3.027,2,1354,1.477,5,2345,2.132,8,17649,0.453,0,5406,0,0,13183,0,0,18589,0,8,36238,0.221
2011,99,Unknown,Urban,Medicaid,26,38986,0.667,15,3456,4.34,7,3740,1.872,22,7196,3.057,48,46182,1.039,0,9624,0,1,34951,0.029,1,44575,0.022,49,90757,0.54
2012,19,Greene,Rural,Medicaid,4,3726,1.074,5,600,8.333,0,590,0,5,1190,4.202,9,4916,1.831,0,724,0,0,1404,0,0,2128,0,9,7044,1.278
2012,16,Franklin,Rural,Commercial,2,4339,0.461,2,431,4.64,0,648,0,2,1079,1.854,4,5418,0.738,0,1677,0,0,3800,0,0,5477,0,4,10895,0.367
2011,16,Franklin,Rural,Medicaid,3,4807,0.624,0,539,0,0,583,0,0,1122,0,3,5929,0.506,0,577,0,1,4311,0.232,1,4888,0.205,4,10817,0.37
2012,8,Chenango,Rural,Medicaid,3,8493,0.353,5,406,12.315,0,838,0,5,1244,4.019,8,9737,0.822,0,655,0,0,24234,0,0,24889,0,8,34626,0.231
2010,61,Queens,Urban,Other,6,17425,0.344,7,5083,1.377,2,2680,0.746,9,7763,1.159,15,25188,0.596,0,3457,0,0,36,0,0,3493,0,15,28681,0.523
2013,42,Schenectady,Urban,Other,0,1415,0,0,82,0,1,425,2.353,1,507,1.972,1,1922,0.52,0,313,0,0,1858,0,0,2171,0,1,4093,0.244
2012,30,Oneida,Urban,Other,2,5082,0.394,4,505,7.921,0,418,0,4,923,4.334,6,6005,0.999,0,884,0,0,3552,0,0,4436,0,6,10441,0.575
2011,11,Cortland,Rural,Commercial,2,6779,0.295,2,767,2.608,1,1012,0.988,3,1779,1.686,5,8558,0.584,0,2312,0,0,3886,0,0,6198,0,5,14756,0.339
2012,12,Delaware,Rural,Medicare,5,5553,0.9,3,1054,2.846,5,1615,3.096,8,2669,2.997,13,8222,1.581,0,1999,0,0,19632,0,0,21631,0,13,29853,0.435
2013,11,Cortland,Rural,Medicare,2,4528,0.442,1,1700,0.588,1,787,1.271,2,2487,0.804,4,7015,0.57,0,2068,0,0,4787,0,0,6855,0,4,13870,0.288
2012,25,Madison,Urban,Commercial,7,10690,0.655,5,956,5.23,1,1680,0.595,6,2636,2.276,13,13326,0.976,0,5231,0,0,5751,0,0,10982,0,13,24308,0.535
2013,17,Fulton,Rural,Medicare,3,5371,0.559,1,2228,0.449,1,1129,0.886,2,3357,0.596,5,8728,0.573,0,3513,0,0,9980,0,0,13493,0,5,22221,0.225
2015,16,Franklin,Rural,Medicare,1,2174,0.46,5,727,6.878,0,334,0,5,1061,4.713,6,3235,1.855,0,946,0,0,5974,0,0,6920,0,6,10155,0.591
2015,30,Oneida,Urban,Medicare,11,17807,0.618,18,9652,1.865,7,3817,1.834,25,13469,1.856,36,31276,1.151,0,12639,0,1,28682,0.035,1,41321,0.024,37,72597,0.51
2013,38,Rensselaer,Urban,Commercial,8,11652,0.687,13,2252,5.773,0,3262,0,13,5514,2.358,21,17166,1.223,0,12153,0,0,17016,0,0,29169,0,21,46335,0.453
2014,39,Rockland,Urban,Medicare,3,14230,0.211,10,9028,1.108,1,3814,0.262,11,12842,0.857,14,27072,0.517,0,4576,0,0,29709,0,0,34285,0,14,61357,0.228
2015,49,Tioga,Urban,Commercial,6,2994,2.004,2,359,5.571,0,634,0,2,993,2.014,8,3987,2.007,0,2362,0,0,5856,0,0,8218,0,8,12205,0.655
2015,19,Greene,Rural,Medicaid,11,4400,2.5,5,683,7.321,1,638,1.567,6,1321,4.542,17,5721,2.972,0,981,0,2,2502,0.799,2,3483,0.574,19,9204,2.064
2015,54,Wayne,Urban,Medicare,2,6290,0.318,6,3778,1.588,3,1175,2.553,9,4953,1.817,11,11243,0.978,0,4978,0,0,15065,0,0,20043,0,11,31286,0.352
2013,62,Richmond (Staten Island),Urban,Other,12,13391,0.896,5,1078,4.638,0,315,0,5,1393,3.589,17,14784,1.15,0,979,0,0,24869,0,0,25848,0,17,40632,0.418
2011,21,Herkimer,Urban,Medicaid,6,6751,0.889,8,563,14.21,1,979,1.021,9,1542,5.837,15,8293,1.809,0,1781,0,0,20729,0,0,22510,0,15,30803,0.487
2011,8,Chenango,Rural,Medicare,1,4827,0.207,3,1877,1.598,5,992,5.04,8,2869,2.788,9,7696,1.169,1,2636,0.379,1,35243,0.028,2,37879,0.053,11,45575,0.241
2011,61,Queens,Urban,Medicaid,49,271828,0.18,92,53866,1.708,11,38658,0.285,103,92524,1.113,152,364352,0.417,1,36163,0.028,6,815712,0.007,7,851875,0.008,159,1216227,0.131
2013,33,Orange,Urban,Commercial,83,62467,1.329,40,6586,6.073,4,9607,0.416,44,16193,2.717,127,78660,1.615,0,22354,0,1,25259,0.04,1,47613,0.021,128,126273,1.014
2015,30,Oneida,Urban,Medicaid,72,34875,2.065,28,3323,8.426,4,4227,0.946,32,7550,4.238,104,42425,2.451,0,5441,0,1,22267,0.045,1,27708,0.036,105,70133,1.497
2014,45,Seneca,Rural,Commercial,5,5104,0.98,3,477,6.289,2,751,2.663,5,1228,4.072,10,6332,1.579,0,2629,0,0,4457,0,0,7086,0,10,13418,0.745
2013,41,Saratoga,Urban,Medicare,2,9758,0.205,6,5135,1.168,1,3074,0.325,7,8209,0.853,9,17967,0.501,0,11297,0,1,16711,0.06,1,28008,0.036,10,45975,0.218
2013,34,Orleans,Urban,Other,1,578,1.73,0,96,0,0,68,0,0,164,0,1,742,1.348,0,177,0,0,474,0,0,651,0,1,1393,0.718
2011,54,Wayne,Urban,Commercial,4,14833,0.27,6,1816,3.304,2,2805,0.713,8,4621,1.731,12,19454,0.617,0,7127,0,0,13380,0,0,20507,0,12,39961,0.3
2013,99,Unknown,Urban,Other,2,8939,0.224,3,571,5.254,0,386,0,3,957,3.135,5,9896,0.505,0,3021,0,0,3726,0,0,6747,0,5,16643,0.3
2014,10,Columbia,Rural,Commercial,8,7530,1.062,3,900,3.333,0,906,0,3,1806,1.661,11,9336,1.178,0,3841,0,0,6640,0,0,10481,0,11,19817,0.555
2012,55,Westchester,Urban,Medicaid,30,78615,0.382,56,10949,5.115,10,13280,0.753,66,24229,2.724,96,102844,0.933,0,7392,0,0,137541,0,0,144933,0,96,247777,0.387
2014,41,Saratoga,Urban,Other,0,1813,0,0,159,0,0,403,0,0,562,0,0,2375,0,0,656,0,0,1557,0,0,2213,0,0,4588,0
2014,14,Erie,Urban,Medicaid,226,128548,1.758,88,11815,7.448,3,13235,0.227,91,25050,3.633,317,153598,2.064,0,14664,0,1,80620,0.012,1,95284,0.01,318,248882,1.278
2014,55,Westchester,Urban,Commercial,59,123530,0.478,33,14618,2.257,10,19829,0.504,43,34447,1.248,102,157977,0.646,0,47278,0,0,137311,0,0,184589,0,102,342566,0.298
2013,61,Queens,Urban,Other,6,18319,0.328,7,3496,2.002,1,1441,0.694,8,4937,1.62,14,23256,0.602,0,6437,0,0,45295,0,0,51732,0,14,74988,0.187
2015,36,Otsego,Rural,Medicare,2,5517,0.363,8,2225,3.596,4,1021,3.918,12,3246,3.697,14,8763,1.598,0,3075,0,1,65101,0.015,1,68176,0.015,15,76939,0.195
2014,20,Hamilton,Rural,Commercial,1,426,2.347,1,63,15.873,0,85,0,1,148,6.757,2,574,3.484,0,303,0,0,475,0,0,778,0,2,1352,1.479
2014,35,Oswego,Urban,Other,1,1013,0.987,0,116,0,0,113,0,0,229,0,1,1242,0.805,0,354,0,0,616,0,0,970,0,1,2212,0.452
2015,1,Albany,Urban,Other,3,2384,1.258,1,188,5.319,0,143,0,1,331,3.021,4,2715,1.473,0,484,0,1,4044,0.247,1,4528,0.221,5,7243,0.69
2015,44,Schuyler,Rural,Other,1,235,4.255,0,14,0,0,15,0,0,29,0,1,264,3.788,0,85,0,0,274,0,0,359,0,1,623,1.605
2014,1,Albany,Urban,Medicaid,31,36700,0.845,17,3615,4.703,2,3461,0.578,19,7076,2.685,50,43776,1.142,0,4282,0,0,30965,0,0,35247,0,50,79023,0.633
2014,41,Saratoga,Urban,Medicare,5,10312,0.485,6,5178,1.159,1,3300,0.303,7,8478,0.826,12,18790,0.639,0,11110,0,0,20202,0,0,31312,0,12,50102,0.24
2012,48,Sullivan,Rural,Medicare,3,4643,0.646,8,2435,3.285,0,1224,0,8,3659,2.186,11,8302,1.325,0,2421,0,0,6603,0,0,9024,0,11,17326,0.635
2014,28,Nassau,Urban,Medicaid,91,93113,0.977,102,15950,6.395,8,13070,0.612,110,29020,3.79,201,122133,1.646,0,13454,0,0,125959,0,0,139413,0,201,261546,0.769
2014,22,Jefferson,Urban,Other,7,18959,0.369,5,948,5.274,0,2573,0,5,3521,1.42,12,22480,0.534,0,3637,0,0,5028,0,0,8665,0,12,31145,0.385
