Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,NY,New York,Cayuga,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,16.6,,,13.9,19.7,75880,36011,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-76.5745866 43.0085456)
2021,NY,New York,Bronx,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.4,6.7,1424948,36005,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-73.852939 40.8487111)
2021,NY,New York,New York,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,19.9,,,17.9,22.1,1576876,36061,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-73.9701871 40.7766419)
2020,NY,New York,Columbia,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,42.3,,,34.5,51.3,61778,36021,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-73.6267175 42.2476964)
2021,NY,New York,Richmond,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.7,,,2.4,2.9,493494,36085,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-74.1398995 40.5612628)
2021,NY,New York,Onondaga,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,25,,,21.3,29,473236,36067,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-76.1961336 43.0065163)
2021,NY,New York,Rockland,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,13.1,,,11,15.2,339227,36087,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-74.0246616 41.1546276)
2020,NY,New York,Schuyler,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,73,,,69.3,76.5,17752,36097,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-76.938603 42.4197755)
2021,NY,New York,Orange,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.5,3.1,404525,36071,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-74.3062522 41.4024096)
2021,NY,New York,Madison,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.1,,,2.7,3.5,67658,36053,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-75.6635749 42.9100255)
2021,NY,New York,Hamilton,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,14.3,,,12.4,16.5,5119,36041,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-74.5024556 43.6578786)
2021,NY,New York,Bronx,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,11.7,,,10.2,13.4,1424948,36005,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-73.852939 40.8487111)
2021,NY,New York,Livingston,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.2,,,3.6,5,61578,36051,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-77.778463 42.7290418)
2021,NY,New York,Cayuga,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,12.8,,,10.8,14.9,75880,36011,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-76.5745866 43.0085456)
2020,NY,New York,Westchester,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,43.7,,,37.4,49.9,997895,36119,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-73.7457526 41.1526862)
2020,NY,New York,Putnam,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,71.6,,,68.2,74.7,97936,36079,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-73.7438608 41.4279067)
2021,NY,New York,Tioga,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.7,,,32,41.6,47980,36107,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-76.2974556 42.1780565)
2021,NY,New York,Chemung,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,79,,,75.8,81.9,83045,36015,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-76.7524712 42.1486972)
2021,NY,New York,Rensselaer,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.2,,,72.4,79.6,160232,36083,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-73.5138454 42.7104206)
2021,NY,New York,Delaware,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.8,,,3.4,4.2,44378,36025,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-74.9667281 42.1939865)
2021,NY,New York,Clinton,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,7.6,,,6.3,9,79596,36019,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-73.7056429 44.752712)
2021,NY,New York,Ulster,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7,,,6.1,8,182951,36111,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-74.2654582 41.9472124)
2021,NY,New York,Genesee,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.9,,,10.3,13.7,57853,36037,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-78.1927784 43.0009096)
2020,NY,New York,Niagara,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,10.9,,,7.3,15.3,211653,36063,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-78.8129431 43.2726719)
2021,NY,New York,Monroe,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,8,,,6.8,9.2,755160,36055,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-77.7005177 43.2503466)
2021,NY,New York,Nassau,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,9.4,,,8.5,10.5,1390907,36059,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-73.5894144 40.7296118)
2021,NY,New York,Oswego,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5,,,4.3,5.9,117387,36075,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-76.2092618 43.4614431)
2021,NY,New York,Oswego,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,58.3,,,54.3,62.4,117387,36075,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-76.2092618 43.4614431)
2020,NY,New York,Rockland,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,85.1,,,83.2,86.9,339227,36087,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-74.0246616 41.1546276)
2021,NY,New York,Allegany,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,31.9,,,28.8,35.2,46106,36003,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-78.0261531 42.2478532)
2021,NY,New York,Fulton,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.7,,,3.2,4.2,53116,36035,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-74.4236782 43.1156093)
2021,NY,New York,Monroe,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,6.2,,,4.8,7.8,755160,36055,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-77.7005177 43.2503466)
2021,NY,New York,Suffolk,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,59.7,,,56.1,63.4,1526344,36103,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-72.6922183 40.943554)
2021,NY,New York,Queens,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,27.1,,,24.4,29.8,2331143,36081,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-73.8412089 40.6546581)
2021,NY,New York,Essex,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.3,6.9,37268,36031,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-73.7784307 44.1096005)
2020,NY,New York,Livingston,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,73.8,,,70.6,76.8,61578,36051,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-77.778463 42.7290418)
2021,NY,New York,Saratoga,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,11.4,,,9.4,13.9,237359,36091,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-73.8553872 43.1061353)
2020,NY,New York,Oswego,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,61.6,,,57.5,65.4,117387,36075,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-76.2092618 43.4614431)
2021,NY,New York,Clinton,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.9,,,3.3,4.5,79596,36019,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-73.7056429 44.752712)
2021,NY,New York,Putnam,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,23,,,20.6,25.6,97936,36079,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-73.7438608 41.4279067)
2021,NY,New York,Rensselaer,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,24.1,,,20.9,28,160232,36083,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-73.5138454 42.7104206)
2021,NY,New York,Yates,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,30.6,,,26.1,35.4,24613,36123,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-77.1043238 42.638237)
2021,NY,New York,Onondaga,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17,,,14.9,19.2,473236,36067,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-76.1961336 43.0065163)
2021,NY,New York,Tompkins,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,70.9,,,67.2,74.7,105162,36109,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-76.4734835 42.4530063)
2021,NY,New York,Orleans,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.9,,,2.6,3.2,40191,36073,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-78.2070281 43.3399059)
2021,NY,New York,Franklin,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,4.1,,,3.5,4.7,47456,36033,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-74.31067 44.5943758)
2021,NY,New York,Warren,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,32.7,,,29.6,36,65618,36113,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-73.8381388 43.5551053)
2020,NY,New York,St. Lawrence,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,63.3,,,59.3,67.1,108051,36089,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-75.074311 44.4881125)
2021,NY,New York,Herkimer,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,9.2,,,7.8,10.6,59937,36043,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-74.8410968 43.571009)
2021,NY,New York,Erie,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,6.5,,,5.7,7.5,950683,36029,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-78.7781922 42.752759)
2021,NY,New York,Washington,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,8,,,6.8,9.3,60956,36115,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-73.4394282 43.3123766)
2020,NY,New York,Lewis,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,44.8,,,36.4,53.8,26573,36049,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-75.4441402 43.7826811)
2021,NY,New York,New York,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.8,,,4,5.8,1576876,36061,HLTHOUT,COPD,CrdPrv,COPD,POINT (-73.9701871 40.7766419)
2020,NY,New York,Washington,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,37.5,,,30.1,45.1,60956,36115,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-73.4394282 43.3123766)
2021,NY,New York,Livingston,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,28.6,,,25.9,31.5,61578,36051,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-77.778463 42.7290418)
2021,NY,New York,Chemung,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,26.7,,,24,29.3,83045,36015,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-76.7524712 42.1486972)
2021,NY,New York,Yates,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.4,,,5.5,7.2,24613,36123,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-77.1043238 42.638237)
2021,NY,New York,Nassau,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,18.9,,,17.1,20.8,1390907,36059,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-73.5894144 40.7296118)
2021,NY,New York,Broome,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.3,,,3,3.7,197240,36007,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-75.8302833 42.1619773)
2021,NY,New York,Sullivan,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.7,,,10.9,14.5,79806,36105,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-74.7715769 41.7199928)
2021,NY,New York,Chenango,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.5,3.2,46537,36017,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-75.6022407 42.4780238)
2021,NY,New York,Albany,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,11.9,,,10.2,13.8,313743,36001,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-73.9740095 42.5882401)
2020,NY,New York,Rensselaer,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,44.9,,,36.8,52.4,160232,36083,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-73.5138454 42.7104206)
2020,NY,New York,Otsego,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,34.1,,,32.3,35.8,58123,36077,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-75.028841 42.6297762)
2021,NY,New York,Cattaraugus,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,31.8,,,28.5,35.2,76426,36009,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-78.662332 42.2390986)
2021,NY,New York,Cortland,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,30.8,,,27.7,34.1,46311,36023,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-76.0762398 42.594039)
2021,NY,New York,Clinton,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,78.2,,,75.5,80.8,79596,36019,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-73.7056429 44.752712)
2021,NY,New York,Monroe,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4.4,,,3.8,5.1,755160,36055,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-77.7005177 43.2503466)
2021,NY,New York,Cayuga,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,7.6,,,6.3,9,75880,36011,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-76.5745866 43.0085456)
2021,NY,New York,Rensselaer,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,58.5,,,54,62.9,160232,36083,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-73.5138454 42.7104206)
2021,NY,New York,Greene,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,23,,,20.1,25.8,48499,36039,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-74.1420253 42.2798211)
2020,NY,New York,Kings,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,28.4,,,24.1,32.2,2641052,36047,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-73.9506398 40.6350451)
2021,NY,New York,Wyoming,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,25.6,,,22.9,28.7,40491,36121,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-78.2285667 42.7013627)
2021,NY,New York,Sullivan,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.9,,,2.6,3.2,79806,36105,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-74.7715769 41.7199928)
2021,NY,New York,Hamilton,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,11.8,,,10.1,13.8,5119,36041,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-74.5024556 43.6578786)
2020,NY,New York,Orange,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,35.2,,,33.8,36.4,404525,36071,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-74.3062522 41.4024096)
2020,NY,New York,Allegany,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,84,,,81.1,86.4,46106,36003,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-78.0261531 42.2478532)
2020,NY,New York,Warren,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,84.9,,,82.2,87.5,65618,36113,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-73.8381388 43.5551053)
2020,NY,New York,St. Lawrence,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,33.8,,,32.2,35.3,108051,36089,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-75.074311 44.4881125)
2021,NY,New York,Albany,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,77.3,,,74.9,79.7,313743,36001,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-73.9740095 42.5882401)
2021,NY,New York,Columbia,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.9,,,5.2,6.6,61778,36021,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-73.6267175 42.2476964)
2021,NY,New York,Greene,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.7,,,29.6,39.8,48499,36039,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-74.1420253 42.2798211)
2021,NY,New York,Columbia,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,27.6,,,25.2,30,61778,36021,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-73.6267175 42.2476964)
2021,NY,New York,Montgomery,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.6,,,3.2,4,49558,36057,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-74.4353575 42.9008912)
2021,NY,New York,Saratoga,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.5,,,9.4,11.8,237359,36091,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-73.8553872 43.1061353)
2020,NY,New York,Putnam,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,77.8,,,75.1,80.4,97936,36079,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-73.7438608 41.4279067)
2021,NY,New York,Oswego,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.2,,,2.9,3.6,117387,36075,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-76.2092618 43.4614431)
2021,NY,New York,Schuyler,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.7,,,3.2,4.3,17752,36097,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-76.938603 42.4197755)
2020,NY,New York,Schenectady,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,75.4,,,72.6,78,158089,36093,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-74.0435592 42.8175516)
2021,NY,New York,Fulton,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,17,,,14.8,19.5,53116,36035,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-74.4236782 43.1156093)
2021,NY,New York,Otsego,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.8,,,19.6,26.2,58123,36077,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-75.028841 42.6297762)
2020,NY,New York,Schoharie,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,33.9,,,32.1,35.7,29863,36095,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-74.4381718 42.591294)
2020,NY,New York,Greene,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,35.6,,,33.7,37.2,48499,36039,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-74.1420253 42.2798211)
2020,NY,New York,Genesee,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,11.1,,,7.6,15.3,57853,36037,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-78.1927784 43.0009096)
2021,NY,New York,Lewis,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,28.8,,,24.8,33.2,26573,36049,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-75.4441402 43.7826811)
2020,NY,New York,Columbia,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,10.9,,,6.3,16.3,61778,36021,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-73.6267175 42.2476964)
2021,NY,New York,Westchester,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.2,,,7.9,10.6,997895,36119,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-73.7457526 41.1526862)
2020,NY,New York,Chautauqua,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,75.4,,,72.5,78.1,126807,36013,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-79.4075949 42.3042159)
2021,NY,New York,St. Lawrence,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,13.9,,,11.6,16.3,108051,36089,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-75.074311 44.4881125)
2020,NY,New York,Queens,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,78.5,,,76.6,80.4,2331143,36081,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-73.8412089 40.6546581)
2020,NY,New York,Erie,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,79.5,,,76.3,82.4,950683,36029,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-78.7781922 42.752759)
2020,NY,New York,Montgomery,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,13.1,,,8.8,18.4,49558,36057,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-74.4353575 42.9008912)
2021,NY,New York,Oneida,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,26.4,,,22.4,30.6,230274,36065,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-75.4342824 43.2427273)
2021,NY,New York,Richmond,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,15.3,,,13,17.9,493494,36085,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-74.1398995 40.5612628)
2021,NY,New York,New York,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,18.3,,,16.7,20,1576876,36061,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-73.9701871 40.7766419)
2021,NY,New York,Albany,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.7,,,5,6.3,313743,36001,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-73.9740095 42.5882401)
