NAME,ADDRESS,CITY,STATE
NAPERVILLE PSYCHIATRIC VENTURES,852 S WEST ST,NAPERVILLE,IL
NORTHSHORE UNIVERSITY HEALTHSYSTEM,2650 RIDGE AVENUE,EVANSTON,IL
NORTHSHORE UNIVERSITY HEALTHSYSTEM,2100 PFINGSTEN ROAD,GLENVIEW,IL
NORTHSHORE UNIVERSITY HEALTHSYSTEM,777 PARK AVENUE WEST,HIGHLAND PARK,IL
NORTHSHORE UNIVERSITY HEALTHSYSTEM,9600 GROSS POINT RD,SKOKIE,IL
NORTHWEST COMMUNITY HOSPITAL,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL
NORTHWESTERN LAKE FOREST HOSPITAL,1000 N WESTMORELAND RD,LAKE FOREST,IL
NORTHWESTERN MEDICINE - HUNTLEY,10400 HALIGUS ROAD,HUNTLEY,IL
NORTHWESTERN MEDICINE - WOODSTOCK,3701 DOTY ROAD,WOODSTOCK,IL
NORTHWESTERN MEDICINE MCHENRY - WOODSTOCK - HUNTLEY HOSPITAL,"4201 MEDICAL CENTER DRIVE MCHENRY; 3701 DOTY ROAD, WOODSTOCK",MCHENRY,IL
NORTHWESTERN MEMORIAL HOSPITAL,251 EAST HURON STREET,CHICAGO,IL
OSF HEALTHCARE SYSTEM,1400 WEST PARK AVENUE,URBANA,IL
OSF HEALTHCARE SYSTEM,812 NORTH LOGAN AVE,DANVILLE,IL
OSF HEALTHCARE SYSTEM,530 PARK AVENUE EAST,PRINCETON,IL
OSF HOLY FAMILY MEDICAL CENTER,1000 W HARLEM AVE,MONMOUTH,IL
OSF LITTLE COMPANY OF MARY MEDICAL CENTER,2800 W 95TH ST,EVERGREEN PARK,IL
OSF SAINT ANTHONY'S HEALTH CENTER,1 SAINT ANTHONY'S WAY,ALTON,IL
OSF SAINT LUKE MEDICAL CENTER,1051 WEST SOUTH STREET,KEWANEE,IL
OTTAWA REGIONAL HOSPITAL AND HEALTHCARE CENTER,1100 E NORRIS DRIVE,OTTAWA,IL
PALOS COMMUNITY HOSPITAL,12251 S 80TH AVE,PALOS HEIGHTS,IL
PANA COMMUNITY HOSPITAL,101 EAST NINTH STREET,PANA,IL
PARIS COMMUNITY HOSPITAL,721 E COURT ST,PARIS,IL
PASSAVANT AREA HOSPITAL,1600 WEST WALNUT ST,JACKSONVILLE,IL
PEKIN MEMORIAL HOSPITAL,600 S 13TH STREET,PEKIN,IL
PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,PINCKNEYVILLE,IL
"PIPELINE - WEISS MEMORIAL HOSPITAL, LLC",4646 N MARINE DRIVE,CHICAGO,IL
"PIPELINE - WEST SUBURBAN MEDICAL CENTER, LLC",3 ERIE COURT,OAK PARK,IL
PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK,1325 N HIGHLAND AVE,AURORA,IL
PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK,77 N AIRLITE STREET,ELGIN,IL
PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK,333 N MADISON ST,JOLIET,IL
PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK,500 W COURT STREET,KANKAKEE,IL
PRESENCE CHICAGO HOSPITALS NETWORK,100 NORTH RIVER ROAD,DES PLAINES,IL
PRESENCE CHICAGO HOSPITALS NETWORK,7435 W TALCOTT AVE,CHICAGO,IL
PRESENCE CHICAGO HOSPITALS NETWORK,355 RIDGE AVENUE,EVANSTON,IL
PRESENCE CHICAGO HOSPITALS NETWORK,2900 N LAKE SHORE DR,CHICAGO,IL
PRESENCE CHICAGO HOSPITALS NETWORK,2233 W DIVISION STREET,CHICAGO,IL
PRESENCE ST MARY AND ELIZABETH,1431 N CLAREMONT AVENUE,CHICAGO,IL
PROCTOR COMMUNITY HOSPITAL,5409 N KNOXVILLE AVE,PEORIA,IL
PROVIDENT HOSPITAL OF COOK COUNTY,500 EAST 51ST STREET,CHICAGO,IL
"RED BUD ILLINOIS COMPANY, LLC",325 SPRING STREET,RED BUD,IL
REHABILITATION INSTITUTE OF CHICAGO,355 E ERIE ST,CHICAGO,IL
RICHLAND MEMORIAL HOSPITAL INC,800 EAST LOCUST STREET,OLNEY,IL
RIVEREDGE HOSPITAL INC,8311 WEST ROOSEVELT ROAD,FOREST PARK,IL
RIVERSIDE MEDICAL CENTER,350 N WALL STREET,KANKAKEE,IL
RML HEALTH PROVIDERS LIMITED PARTNERSHIP,3435 W VAN BUREN ST,CHICAGO,IL
RML HEALTH PROVIDERS LIMITED PARTNERSHIP,5601 S COUNTY LINE ROAD,HINSDALE,IL
ROCHELLE COMMUNITY HOSPITAL,900 N 2ND ST,ROCHELLE,IL
ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL
"RUSH OAK PARK HOSPITAL, INC",520 S MAPLE AVE,OAK PARK,IL
RUSH UNIVERSITY MEDICAL CENTER,1653 W CONGRESS PKWY,CHICAGO,IL
SAINT ANTHONY HOSPITAL,2875 W 19TH ST,CHICAGO,IL
SAINT ANTHONY MEDICAL CENTER,5666 E STATE STREET,ROCKFORD,IL
SAINT FRANCIS MEDICAL CENTER,530 NORTH EAST GLEN OAK AVE,PEORIA,IL
SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL
SALEM TOWNSHIP HOSPITAL,1201 RICKER DR,SALEM,IL
SARAH BUSH LINCOLN HEALTH CENTER,"1000 HEALTH CTR DR, PO BOX 372",MATTOON,IL
SARAH D. CULBERTSON MEMORIAL HOSPITAL,238 S CONGRESS STREET,RUSHVILLE,IL
SCHWAB REHABILITATION HOSPITAL AND CARE NETWORK,1401 S CALIFORNIA BOULEVARD,CHICAGO,IL
SHRINERS HOSPITAL FOR CHILDREN - CHICAGO,2211 N OAK PARK AVE,CHICAGO,IL
SILVER CROSS HOSPITAL AND MEDICAL CENTERS,1900 SILVER CROSS BLVD,NEW LENOX,IL
SILVER OAKS BEHAVORIAL HOSPITAL,1004 PAWLAK PARKWAY,NEW LENOX,IL
SOUTH SHORE HOSPITAL,8012 S CRANDON AVENUE,CHICAGO,IL
SPARTA COMMUNITY HOSPITAL,818 E BROADWAY ST,SPARTA,IL
SPRINGFIELD HOSPITAL INC,5230 SOUTH SIXTH STREET,SPRINGFIELD,IL
ST ALEXIUS MEDICAL CENTER,1555 BARRINGTON RD,HOFFMAN ESTATES,IL
ST JOSEPH MEMORIAL HOSPITAL,2 S HOSPITAL DR,MURPHYSBORO,IL
ST JOSEPH'S HOSPITAL,12866 TROXLER AVENUE,HIGHLAND,IL
ST MARGARET'S HEALTH - PERU,925 WEST STREET,PERU,IL
ST MARGARET'S HEALTH - SPRING VALLEY,600 E FIRST ST,SPRING VALLEY,IL
ST. ANTHONY'S MEMORIAL HOSPITAL,503 N MAPLE ST,EFFINGHAM,IL
ST. BERNARD HOSPITAL,326 W 64TH STREET,CHICAGO,IL
ST. FRANCIS HOSPITAL,"1215 FRANCISCAN DR, PO BOX 1215",LITCHFIELD,IL
ST. JOHN'S HOSPITAL,800 E CARPENTER ST,SPRINGFIELD,IL
ST. JOSEPH MEDICAL CENTER,2200 E WASHINGTON STREET,BLOOMINGTON,IL
ST. JOSEPH'S HOSPITAL,9515 HOLY CROSS LN,BREESE,IL
ST. MARY MEDICAL CENTER,3333 NORTH SEMINARY STREET,GALESBURG,IL
ST. MARY'S HOSPITAL,1800 E LAKE SHORE DR,DECATUR,IL
ST. MARY'S HOSPITAL,400 NORTH PLEASANT AVENUE,CENTRALIA,IL
SWEDISH COVENANT HEALTH,5145 N CALIFORNIA AVENUE,CHICAGO,IL
SWEDISH AMERICAN HOSPITAL,1401 E STATE STREET,ROCKFORD,IL
SWEDISHAMERICAN MEDICAL CENTER BELVIDERE,1625 SOUTH STATE STREET,BELVIDERE,IL
TAYLORVILLE MEMORIAL HOSPITAL,201 E PLEASANT ST,TAYLORVILLE,IL
THE CARLE FOUNDATION HOSPITAL,611 WEST PARK STREET,URBANA,IL
THE PAVILION FOUNDATION,809 W CHURCH STREET,CHAMPAIGN,IL
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,"5841 S MARYLAND AVE, MC 1000",CHICAGO,IL
THOMAS H. BOYD MEMORIAL HOSPITAL,800 SCHOOL STREET,CARROLLTON,IL
THOREK MEMORIAL HOSPITAL,850 WEST IRVING PARK RD,CHICAGO,IL
THOREK MEMORIAL HOSPITAL,5025 N PAULINA STREET,CHICAGO,IL
"TOUCHETTE REGIONAL HOSPITAL, INC",5900 BOND AVENUE,CENTREVILLE,IL
TRINITY MEDICAL CENTER - 7TH ST CAMPUS,"500 JOHN DEERE RD, 7TH ST CAMPUS",MOLINE,IL
TRINITY MEDICAL CENTER - WEST,2701 17TH STREET,ROCK ISLAND,IL
UHS HARTGROVE HOSPITAL,5730 W ROOSEVELT RD,CHICAGO,IL
UNIVERSITY OF ILLINOIS HOSPITAL AT CHICAGO,"1740 W TAYLOR, SUITE 1400, MC 693",CHICAGO,IL
V COVINGTON LLC,2615 WEST WASHINGTON STREET,WAUKEGAN,IL
VALLEY WEST COMMUNITY HOSPITAL,1302 NORTH MAIN STREET,SANDWICH,IL
VAN MATRE ENCOMPASS HEALTH REHABILITATION HOSPITAL LLC,950 S MULFORD ROAD,ROCKFORD,IL
WABASH GENERAL HOSPITAL DISTRICT,1418 COLLEGE DRIVE,MOUNT CARMEL,IL
WARNER HOSPITAL AND HEALTH SERVICES,422 W WHITE ST,CLINTON,IL
WASHINGTON COUNTY HOSPITAL,705 SOUTH GRAND AVENUE,NASHVILLE,IL
"WAUKEGAN ILLINOIS HOSPITAL COMPANY, LLC",1324 N SHERIDAN RD,WAUKEGAN,IL
CHEYENNE RIVER HOSPITAL,317 MAIN STREET,EAGLE BUTTE,SD
FORT YATES HOSPITAL,"1010 RIVER ROAD, HIGHWAY 1806",FORT YATES,ND
MESCALERO HOSPITAL,318 ABALONE LOOP,MESCALERO,NM
SANTA FE HOSPITAL,1700 CERRILLOS ROAD,SANTA FE,NM
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,"ROUTE 301, NORTH B STREET",ZUNI,NM
CASS LAKE HOSPITAL,425 7TH ST NW,CASS LAKE,MN
RED LAKE HOSPITAL,24760 HOSPITAL DRIVE,RED LAKE,MN
FORT BELKNAP HOSPITAL,669 MAIN STREET,HARLEM,MT
CHOCTAW NATION INDIAN HOSPITAL - TALIHINA,1 CHOCTAW WAY,TALIHINA,OK
CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD,ADA,OK
TUBA CITY REGIONAL HEALTH CARE,167 N MAIN STREET AND EAST ELM AVE,TUBA CITY,AZ
CLAREMORE HOSPITAL,"101 S MOORE AVENUE, SOUTH MOORE AND WILL ROGERS BLVD",CLAREMORE,OK
CHEROKEE NATION W. W. HASTINGS HOSPITAL,100 SOUTH BLISS AVENUE,TAHLEQUAH,OK
LAWTON HOSPITAL,1515 LAWRIE TATUM ROAD,LAWTON,OK
CREEK NATION COMMUNITY HOSPITAL - OKEMAH,309 NORTH 14TH STREET,OKEMAH,OK
HOPI HEALTH CARE CENTER - KEAMS CANYON,"HWY 264, MILE MARKER 388",POLACCA,AZ
PARKER IHS INDIAN HOSPITAL,12033 AGENCY ROAD,PARKER,AZ
MS BAND OF CHOCTAW HOSPITAL,210 HOSPITAL CIRCLE,CHOCTAW,MS
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"OFF HIGHWAY 191, PHS/IHS DR",CHINLE,AZ
RAPID CITY HOSPITAL,3200 CANYON LAKE DRIVE,RAPID CITY,SD
CROWNPOINT HEALTHCARE FACILITY,NM STATE ROAD 371 AND ROUTE 9,CROWNPOINT,NM
FORT DEFIANCE INDIAN HOSPITAL,"HWY 12 AND BONITO DR, BLDG FD 3002",FORT DEFIANCE,AZ
GALLUP INDIAN MEDICAL CENTER,516 E NIZHONI BLVD,GALLUP,NM
ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DRIVE,ANCHORAGE,AK
YUKON - KUSKOKWIM - DELTA REGIONAL HOSPITAL,700 EDDIE HOFFMAN HIGHWAY,BETHEL,AK
MANIILAQ HEALTH CENTER - HOSPITAL,436 5TH AVENUE,KOTZEBUE,AK
PINE RIDGE HOSPITAL,HWY 18 EAST,PINE RIDGE,SD
QUENTIN N BURDICK MEMORIAL HEALTH FACILITY,1ST MAIN STREET HOSPITAL ROAD,BELCOURT,ND
ROSEBUD HOSPITAL,"BIA ROUTE 1, SOLDER CREEK ROAD",ROSEBUD,SD
KANAKANAK HOSPITAL,6000 KANAKANAK ROAD,DILLINGHAM,AK
SITKA - SEARHC MT. EDGECUMBE HOSPITAL,222 TONGASS DRIVE,SITKA,AK
NOME - NORTON SOUND REGIONAL HOSPITAL,306 WEST 5TH AVENUE,NOME,AK
NORTHERN NAVAJO MEDICAL CENTER,HWY 491 NORTH,SHIPROCK,NM
WINNEBAGO HOSPITAL,US HIGHWAY 77-75,WINNEBAGO,NE
SELLS HOSPITAL,HWY 86 AND TOPAWA RD,SELLS,AZ
CIHA HOSPITAL,1 HOSPITAL ROAD,CHEROKEE,NC
PHOENIX INDIAN MEDICAL CENTER,4212 N 16TH STREET,PHOENIX,AZ
BLACKFEET COMMUNITY HOSPITAL,760 HOSPITAL CIRCLE,BROWNING,MT
CROW HOSPITAL,10110 SOUTH 7650 EAST,CROW AGENCY,MT
HU - HU - KAM MEMORIAL HOSPITAL - SACATON,483 W SEED FARM ROAD,SACATON,AZ
SAN CARLOS HOSPITAL,238 CIBEQUE CIRCLE,SAN CARLOS,AZ
WHITERIVER HOSPITAL,HWY 73 MILE POST 342,WHITERIVER,AZ
SAGE MEMORIAL HOSPITAL,US-191 AND AZ-264,GANADO,AZ
A ROSIE PLACE,53131 QUINCE RD,SOUTH BEND,IN
ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,DECATUR,IN
ASCENSION ST VINCENT ANDERSON,2015 JACKSON ST,ANDERSON,IN
ASCENSION ST VINCENT CARMEL,13500 N MERIDIAN ST,CARMEL,IN
ASCENSION ST VINCENT CLAY,1206 E NATIONAL AVE,BRAZIL,IN
ASCENSION ST VINCENT DUNN,1600 23RD ST,BEDFORD,IN
ASCENSION ST VINCENT EVANSVILLE,3700 WASHINGTON AVE,EVANSVILLE,IN
ASCENSION ST VINCENT FISHERS,13861 OLIO ROAD,FISHERS,IN
ASCENSION ST VINCENT HEART CENTER,10580 N MERIDIAN ST,CARMEL,IN
ASCENSION ST VINCENT HOSPITAL,2001 W 86TH ST,INDIANAPOLIS,IN
ASCENSION ST VINCENT JENNINGS,301 HENRY ST,NORTH VERNON,IN
ASCENSION ST VINCENT KOKOMO,1907 W SYCAMORE ST,KOKOMO,IN
ASCENSION ST VINCENT MERCY,1331 S A ST,ELWOOD,IN
ASCENSION ST VINCENT RANDOLPH,473 E GREENVILLE AVE,WINCHESTER,IN
ASCENSION ST VINCENT SALEM,911 N SHELBY ST,SALEM,IN
ASCENSION ST VINCENT SETON SPECIALTY HOSPITAL,8050 TOWNSHIP LINE RD,INDIANAPOLIS,IN
ASCENSION ST VINCENT WARRICK,1116 MILLIS AVE,BOONVILLE,IN
ASCENSION ST VINCENT WILLIAMSPORT,412 N MONROE ST,WILLIAMSPORT,IN
ASSURANCE HEALTH PSYCHIATRIC HOSPITAL,900 NORTH HIGH SCHOOL ROAD,INDIANAPOLIS,IN
BAPTIST HEALTH FLOYD,1850 STATE ST,NEW ALBANY,IN
BLOOMINGTON MEADOWS HOSPITAL,3600 N PROW RD,BLOOMINGTON,IN
BLUFFTON REGIONAL MEDICAL CENTER,303 S MAIN ST,BLUFFTON,IN
BRENTWOOD SPRINGS,4488 ROSLIN RD,NEWBURGH,IN
BRIGHTWELL BEHAVIORAL HEALTH,1612 BLACKISTON VIEW DRIVE,CLARKSVILLE,IN
CAMERON MEMORIAL COMMUNITY HOSPITAL INC,416 E MAUMEE ST,ANGOLA,IN
CENTRAL INDIANA AMG SPECIALTY HOSPITAL LLC,"2401 W UNIVERSITY AVE, 5TH FLOOR EAST TOWER",MUNCIE,IN
CLARK MEMORIAL HEALTH,1220 MISSOURI AVE,JEFFERSONVILLE,IN
COBALT REHABILITATION HOSPITAL CLARKSVILLE,2101 BROADWAY STREET,CLARKSVILLE,IN
COLUMBUS REGIONAL HOSPITAL,2400 E 17TH ST,COLUMBUS,IN
COMMUNITY FAIRBANKS RECOVERY CENTER,8102 CLEARVISTA PARKWAY,INDIANAPOLIS,IN
COMMUNITY HEALTH NETWORK REHABILITATION HOSPITAL SOUTH,607 SOUTH GREENWOOD SPRINGS DRIVE,GREENWOOD,IN
COMMUNITY HEALTH NETWORK REHABILITATION HOSPITAL,7343 CLEARVISTA DRIVE,INDIANAPOLIS,IN
COMMUNITY HOSPITAL,901 MACARTHUR BLVD,MUNSTER,IN
COMMUNITY HOSPITAL EAST,1500 N RITTER AVE,INDIANAPOLIS,IN
COMMUNITY HOSPITAL NORTH,7150 CLEARVISTA DR,INDIANAPOLIS,IN
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,ANDERSON,IN
COMMUNITY HOSPITAL OF BREMEN INC,1020 HIGH RD,BREMEN,IN
COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,INDIANAPOLIS,IN
COMMUNITY HOWARD REGIONAL HEALTH INC,3500 S LAFOUNTAIN ST,KOKOMO,IN
COMMUNITY HOWARD SPECIALTY HOSPITAL,829 N DIXON RD,KOKOMO,IN
COMMUNITY MENTAL HEALTH CENTER INC,285 BIELBY RD,LAWRENCEBURG,IN
"COMMUNITY STROKE AND REHABILITATION CENTER, INC",10215 BROADWAY AVENUE,CROWN POINT,IN
DAVIESS COMMUNITY HOSPITAL,1314 E WALNUT ST,WASHINGTON,IN
DEACONESS GIBSON HOSPITAL,1808 SHERMAN DR,PRINCETON,IN
DEACONESS HOSPITAL INC,600 MARY ST,EVANSVILLE,IN
DECATUR COUNTY MEMORIAL HOSPITAL,720 N LINCOLN ST,GREENSBURG,IN
DOCTORS NEUROPSYCHIATRIC HOSPITAL,417 S WHITLOCK ST,BREMEN,IN
DUKES MEMORIAL HOSPITAL,275 W 12TH ST,PERU,IN
DUPONT HOSPITAL LLC,2520 E DUPONT RD,FORT WAYNE,IN
ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART,IN
ENCOMPASS HEALTH DEACONESS REHABILITATION HOSPITAL,9355 WARRICK TRAIL,NEWBURGH,IN
ESKENAZI HEALTH,720 ESKENAZI AVENUE,INDIANAPOLIS,IN
EVANSVILLE PSYCHIATRIC CHILDREN'S CENTER,3300 E MORGAN AVE,EVANSVILLE,IN
EVANSVILLE STATE HOSPITAL,3400 LINCOLN AVENUE,EVANSVILLE,IN
FOUR COUNTY COUNSELING CENTER,1015 MICHIGAN AVE,LOGANSPORT,IN
"FRANCISCAN BEACON HOSPITAL, LLC",1010 W SR 2,LA PORTE,IN
FRANCISCAN HEALTH CRAWFORDSVILLE,1710 LAFAYETTE RD,CRAWFORDSVILLE,IN
FRANCISCAN HEALTH CROWN POINT,1201 S MAIN ST,CROWN POINT,IN
FRANCISCAN HEALTH DYER,24 JOLIET ST,DYER,IN
FRANCISCAN HEALTH HAMMOND,5454 HOHMAN AVE,HAMMOND,IN
FRANCISCAN HEALTH INDIANAPOLIS,8111 S EMERSON AVE,INDIANAPOLIS,IN
FRANCISCAN HEALTH LAFAYETTE,1701 S CREASY LN,LAFAYETTE,IN
FRANCISCAN HEALTH MICHIGAN CITY,301 WEST HOMER,MICHIGAN CITY,IN
FRANCISCAN HEALTH MOORESVILLE,1201 HADLEY RD,MOORESVILLE,IN
FRANCISCAN HEALTH MUNSTER,701 SUPERIOR AVE,MUNSTER,IN
"FRANCISCAN HEALTH RENSSELAER, INC",1104 E GRACE ST,RENSSELAER,IN
GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,IN
GOSHEN GENERAL HOSPITAL,200 HIGH PARK AVE,GOSHEN,IN
"GRANT - BLACKFORD MENTAL HEALTH, INC",505 WABASH AVE,MARION,IN
GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,LINTON,IN
HAMILTON CENTER INC,620 8TH AVE,TERRE HAUTE,IN
HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,IN
HARRISON COUNTY HOSPITAL,1141 HOSPITAL DR NW,CORYDON,IN
HARSHA BEHAVIORAL CENTER INC,1980 E WOODSMALL DR,TERRE HAUTE,IN
HENDRICKS BEHAVIORAL HOSPITAL,1051 SOUTHFIELD DRIVE,PLAINFIELD,IN
HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN
HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,NEW CASTLE,IN
"INDIANA SPINE HOSPITAL, LLC",13219 N MERIDIAN STREET,CARMEL,IN
INDIANA UNIVERSITY HEALTH,1701 N SENATE BLVD,INDIANAPOLIS,IN
INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,5165 MCCARTY LN,LAFAYETTE,IN
INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE,IN
INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,2900 W 16TH ST,BEDFORD,IN
INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,410 PILGRIM BLVD,HARTFORD CITY,IN
INDIANA UNIVERSITY HEALTH FRANKFORT INC,1300 S JACKSON ST,FRANKFORT,IN
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,11700 N MERIDIAN ST,CARMEL,IN
INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,642 W HOSPITAL RD,PAOLI,IN
INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,1000 S MAIN ST,TIPTON,IN
INDIANA UNIVERSITY HEALTH TRANSPLANT,1701 NORTH SENATE BLVD,INDIANAPOLIS,IN
INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,720 SOUTH SIXTH ST,MONTICELLO,IN
"INDIANAPOLIS REHABILITATION HOSPITAL, LLC",1260 CITY CENTER DRIVE,CARMEL,IN
IU HEALTH BLOOMINGTON HOSPITAL,601 W SECOND ST,BLOOMINGTON,IN
IU HEALTH JAY,500 W VOTAW ST,PORTLAND,IN
IU HEALTH WEST HOSPITAL,1111 N RONALD REAGAN PKWY,AVON,IN
JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,FRANKLIN,IN
KINDRED HOSPITAL INDIANAPOLIS,1700 W 10TH ST,INDIANAPOLIS,IN
KINDRED HOSPITAL INDIANAPOLIS NORTH,8060 KNUE ROAD,INDIANAPOLIS,IN
KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN
KOSCIUSKO COMMUNITY HOSPITAL,2101 E DUBOIS DR,WARSAW,IN
LAFAYETTE REGIONAL REHABILITATION HOSPITAL,950 PARK EAST BLVD,LAFAYETTE,IN
LUTHERAN DOWNTOWN HOSPITAL,702 VAN BUREN STREET,FORT WAYNE,IN
LUTHERAN HOSPITAL OF INDIANA,7910 W JEFFERSON BLVD,FORT WAYNE,IN
LUTHERAN HOSPITAL OF INDIANA TH,7950 W JEFFERSON BLVD,FORT WAYNE,IN
MADISON STATE HOSPITAL,711 GREEN RD,MADISON,IN
MAJOR HOSPITAL,2451 INTELLIPLEX DR,SHELBYVILLE,IN
MARGARET MARY HEALTH,321 MITCHELL AVE,BATESVILLE,IN
MARION GENERAL HOSPITAL,441 N WABASH AVE,MARION,IN
MEDICAL BEHAVIORAL HOSPITAL - MISHAWAKA,1625 EAST JEFFERSON BLVD,MISHAWAKA,IN
MEMORIAL HOSPITAL,1101 MICHIGAN AVE,LOGANSPORT,IN
MEMORIAL HOSPITAL AND HEALTH CARE CENTER,800 W 9TH ST,JASPER,IN
MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,SOUTH BEND,IN
METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN
MICHIANA BEHAVIORAL HEALTH CENTER,1800 N OAK RD,PLYMOUTH,IN
MONROE HOSPITAL,4011 S MONROE MEDICAL PARK BLVD,BLOOMINGTON,IN
NEURO BEHAVIORAL HOSPITAL,9330 BROADWAY,CROWN POINT,IN
NEURODIAGNOSTIC INSTITUTE,5435 E 16TH ST,INDIANAPOLIS,IN
"NEUROPSYCHIATRIC HOSPITAL OF INDIANAPOLIS, LLC","6720 PARKDALE PLACE, SUITE 100",INDIANAPOLIS,IN
NORTHEASTERN CENTER,1850 WESLEY RD,AUBURN,IN
NORTHWEST HEALTH - PORTER,85 EAST US HWY 6,VALPARAISO,IN
NORTHWEST HEALTH - STARKE,102 E CULVER RD,KNOX,IN
NORTHWEST HEALTH - LA PORTE,1331 STATE STREET,LA PORTE,IN
NW INDIANA ER AND HOSPITAL,7904 CABELA DRIVE,HAMMOND,IN
OAKLAWN PSYCHIATRIC CENTER INC,330 LAKEVIEW DR,GOSHEN,IN
OPTIONS BEHAVIORAL HEALTH SYSTEM,5602 CAITO DRIVE,INDIANAPOLIS,IN
ORTHOINDY HOSPITAL,8400 NORTHWEST BLVD,INDIANAPOLIS,IN
ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,11130 PARKVIEW CIRCLE DR,FORT WAYNE,IN
OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,9 PEQUIGNOT DR,PIERCETON,IN
"PARK CENTER, INC",1909 CAREW STREET,FORT WAYNE,IN
PARKVIEW DEKALB HOSPITAL,1316 E SEVENTH ST,AUBURN,IN
PARKVIEW HUNTINGTON HOSPITAL,2001 STULTS RD,HUNTINGTON,IN
PARKVIEW LAGRANGE HOSPITAL,207 N TOWNLINE RD,LAGRANGE,IN
PARKVIEW NOBLE HOSPITAL,401 SAWYER RD,KENDALLVILLE,IN
PARKVIEW REGIONAL MEDICAL CENTER,11109 PARKVIEW PLAZA DRIVE,FORT WAYNE,IN
"PARKVIEW WABASH HOSPITAL, INC",10 JOHN KISSINGER DRIVE,WABASH,IN
PARKVIEW WHITLEY HOSPITAL,1260 E SR 205,COLUMBIA CITY,IN
PERRY COUNTY MEMORIAL HOSPITAL,8885 SR 237,TELL CITY,IN
PHYSICIANS' MEDICAL CENTER LLC,4023 REAS LN,NEW ALBANY,IN
PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT,IN
PORTER - STARKE SERVICES INC,701 WALL ST,VALPARAISO,IN
PULASKI MEMORIAL HOSPITAL,616 E 13TH ST,WINAMAC,IN
PUTNAM COUNTY HOSPITAL,1542 S BLOOMINGTON ST,GREENCASTLE,IN
REGENCY HOSPITAL OF NORTHWEST INDIANA,4321 FIR ST 4TH FL,EAST CHICAGO,IN
REGIONAL MENTAL HEALTH CENTER,8555 TAFT ST,MERRILLVILLE,IN
REHABILITATION HOSPITAL OF FORT WAYNE GENERAL - PART OF LUTHERAN HEALTH NETWORK,7970 W JEFFERSON BLVD,FORT WAYNE,IN
REHABILITATION HOSPITAL OF INDIANA INC,4141 SHORE DR,INDIANAPOLIS,IN
"REHABILITATION HOSPITAL OF NORTHERN INDIANA, LLC",4807 EDISON LAKES PARKWAY,MISHAWAKA,IN
REID HEALTH,1100 REID PKWY,RICHMOND,IN
RICHMOND STATE HOSPITAL,498 NW 18TH ST,RICHMOND,IN
RIVER BEND HOSPITAL,2900 N RIVER RD,WEST LAFAYETTE,IN
RIVERVIEW HEALTH,395 WESTFIELD RD,NOBLESVILLE,IN
RUSH MEMORIAL HOSPITAL,1300 N MAIN ST,RUSHVILLE,IN
SAINT JOSEPH REGIONAL MEDICAL CENTER,5215 HOLY CROSS PKWY,MISHAWAKA,IN
